Season,Name,Tm,IP,TBF,ERA,H,2B,3B,R,ER,HR,BB,IBB,HBP,SO,AVG,OBP,SLG,wOBA,playerId
2019,"Montana DuRapau","PIT",17.1,90,9.3462,27,6,1,24,18,4,9,0,2,22,0.341772151,0.422222222,0.594936708,0.423910485373603,16768
2019,"Josh James","HOU",61.1,266,4.6957,46,7,1,34,32,10,35,0,4,100,0.202643171,0.319548872,0.374449339,0.30386165658334147,16794
2019,"Tim Hill","KCR",39.2,161,3.6302,31,5,0,17,16,4,13,2,4,39,0.216783216,0.3,0.335664335,0.2749552440039719,16814
2019,"Locke St. John","TEX",6.2,33,5.4,7,3,0,4,4,0,4,0,0,5,0.24137931,0.333333333,0.344827586,0.2996848388151689,16850
2019,"Reed Garrett","DET",15.1,77,8.2174,24,8,0,15,14,3,13,0,1,10,0.38095238,0.493506493,0.65079365,0.47467351733864127,16866
2019,"Aaron Wilkerson","MIL",16,80,7.3125,25,4,0,13,13,4,9,1,0,11,0.357142857,0.425,0.585714285,0.41684152883819386,16904
2019,"Luke Weaver","ARI",64.1,260,2.9378,55,16,0,22,21,6,14,1,3,69,0.227272727,0.276923076,0.367768595,0.2738701155747226,16918
2019,"Touki Toussaint","ATL",41.2,198,5.616,44,9,0,28,26,5,26,2,7,45,0.26993865,0.392857142,0.417177914,0.35225492746559617,16929
2019,"Elieser Hernandez","MIA",82.1,353,5.0283,76,18,2,49,46,20,26,1,9,85,0.242038216,0.317142857,0.503184713,0.3403578106858327,16933
2019,"Luis Ortiz","BAL",3.1,18,10.8001,4,1,0,4,4,2,5,0,0,3,0.307692307,0.5,0.846153846,0.5231564541657766,16942
2019,"Sean Newcomb","ATL",68.1,293,3.161,61,10,1,28,24,8,29,1,3,65,0.235521235,0.317406143,0.374517374,0.2987032375515324,16943
2019,"Jake Jewell","LAA",26.1,114,6.8355,28,3,1,20,20,8,8,0,3,23,0.274509803,0.342105263,0.558823529,0.37095628861795393,16958
2019,"Trevor Williams","PIT",145.2,636,5.3753,162,40,5,93,87,27,44,3,7,113,0.283712784,0.338095238,0.513134851,0.3513243379965543,16977
2019,"Daniel Mengden","OAK",59.2,260,4.8268,59,16,1,32,32,7,27,0,0,42,0.254310344,0.33076923,0.422413793,0.32171769715272464,16980
2019,"Tyler Beede","SFG",117,523,5.0769,127,19,2,70,66,22,46,1,5,113,0.271367521,0.340996168,0.461538461,0.33886907414145295,16981
2019,"Trevor Hildenberger","MIN",16.1,88,10.4694,30,8,0,19,19,2,7,0,3,15,0.394736842,0.454545454,0.578947368,0.4317527325315909,17002
2019,"Jefry Rodriguez","CLE",46.2,203,4.6286,48,13,0,26,24,5,21,1,0,33,0.269662921,0.341584158,0.426966292,0.32541504072312694,17018
2019,"Ariel Jurado","TEX",122.1,541,5.812,148,35,5,94,79,21,36,1,4,81,0.303901437,0.350746268,0.525667351,0.36196558085557456,17030
2019,"Sean Reid-Foley","TOR",31.2,150,4.2632,33,8,0,20,15,5,21,0,2,28,0.261904761,0.373333333,0.444444444,0.3517183725039164,17034
2019,"Joe Palumbo","TEX",16.2,81,9.18,21,6,0,17,17,7,8,0,2,21,0.3,0.3875,0.685714285,0.4349297985434532,17035
2019,"Pablo Lopez","MIA",111.1,469,5.0928,111,23,3,64,63,15,27,3,11,95,0.26117647,0.320430107,0.435294117,0.31821280601736784,17085
2019,"Austin Davis","PHI",20.2,98,6.5322,22,3,0,15,15,6,14,1,3,24,0.271604938,0.397959183,0.530864197,0.3889028866266467,17117
2019,"Raisel Iglesias","CIN",67,279,4.1642,61,13,1,31,31,12,21,4,2,89,0.24015748,0.302158273,0.440944881,0.3074079414788824,17130
2019,"Domingo German","NYY",143,594,4.028,125,27,0,69,64,30,39,0,5,153,0.228102189,0.284991568,0.441605839,0.3046996218559111,17149
2019,"Jose Castillo","SDP",0.2,4,0,0,0,0,0,0,0,1,0,1,2,0,0.5,0,0.35237760841846466,17169
2019,"Gabe Speier","KCR",7.1,33,7.3637,5,1,0,6,6,2,6,0,0,10,0.185185185,0.333333333,0.444444444,0.3326278166337447,17170
2019,"Yoan Lopez","ARI",60.2,246,3.4121,52,11,2,27,23,11,17,2,0,42,0.232142857,0.281632653,0.446428571,0.2982701857884725,17181
2019,"Dinelson Lamet","SDP",73,313,4.0685,62,14,0,38,33,12,30,0,5,105,0.226277372,0.311897106,0.408759124,0.30841964099951497,17186
2019,"Jalen Beeks","TBR",104.1,464,4.3131,115,27,0,56,50,12,40,1,9,89,0.281173594,0.354211663,0.435207823,0.3368159046162775,17192
2019,"Austin Brice","MIA",44.2,199,3.4254,37,5,0,21,17,7,18,2,7,46,0.213872832,0.311557788,0.364161849,0.2917740048490805,17237
2019,"Sam Coonrod","SFG",27.2,114,3.5783,19,2,0,11,11,3,15,1,4,20,0.202127659,0.336283185,0.319148936,0.29435201095683233,17264
2019,"Ranger Suarez","PHI",48.2,205,3.1438,52,8,0,18,17,6,12,2,1,42,0.278074866,0.321782178,0.417112299,0.3101888367533684,17277
2019,"Thomas Pannone","TOR",73,325,6.1644,73,16,1,51,50,13,31,1,6,69,0.255244755,0.338461538,0.454545454,0.3352680712202449,17281
2019,"Justus Sheffield","SEA",36,168,5.5,44,10,1,22,22,5,18,0,3,37,0.303448275,0.391566265,0.489655172,0.3754535557993923,17285
2019,"Javy Guerra","SDP",8.2,36,5.1923,7,2,0,5,5,3,3,0,0,6,0.21875,0.277777777,0.5625,0.33505652017063564,17292
2019,"Framber Valdez","HOU",70.2,329,5.8585,74,13,1,51,46,9,44,0,4,68,0.267148014,0.370820668,0.418772563,0.341645189875165,17295
2019,"Luis Escobar","PIT",5.2,29,7.9411,10,2,0,5,5,1,4,0,1,2,0.454545454,0.535714285,0.681818181,0.4978753328323364,17345
2019,"Josh Taylor","BOS",47.1,194,3.0423,40,5,0,17,16,5,16,1,2,62,0.228571428,0.298969072,0.342857142,0.27804180809870904,17359
2019,"Brett Martin","TEX",62.1,280,4.7647,72,14,0,38,33,7,18,2,2,62,0.280155642,0.328571428,0.416342412,0.31454376286739927,17369
2019,"Erick Fedde","WSN",78,334,4.5,81,16,1,39,39,11,33,2,2,41,0.276450511,0.351515151,0.450511945,0.3391990438103676,17425
2019,"Jeff Hoffman","COL",70,315,6.5571,77,18,1,51,51,21,34,3,4,68,0.283088235,0.368589743,0.588235294,0.39032586164844846,17432
2019,"Jonathan Hernandez","TEX",16.2,78,4.32,14,1,0,10,8,3,13,0,0,19,0.21875,0.346153846,0.375,0.31673299654936177,17464
2019,"Heath Fillmyer","KCR",22.1,109,8.0597,28,5,0,20,20,6,12,0,3,15,0.307692307,0.394495412,0.56043956,0.3939912198880397,17466
2019,"Chad Sobotka","ATL",29,134,6.2069,28,4,0,22,20,6,19,0,3,38,0.25,0.373134328,0.446428571,0.3539555788929783,17470
2019,"Jack Flaherty","STL",196.1,772,2.7504,135,24,1,62,60,25,55,2,7,231,0.191761363,0.256176853,0.335227272,0.25391668399900313,17479
2019,"Genesis Cabrera","STL",20.1,99,4.8689,23,4,0,16,11,2,11,0,2,19,0.273809523,0.367346938,0.392857142,0.3322522853102003,17490
2019,"Diego Castillo","TBR",68.2,290,3.4078,59,9,2,32,26,8,26,4,5,81,0.229571984,0.311418685,0.373540856,0.2915478838117499,17496
2019,"Wei-Chieh Huang","TEX",5.2,32,3.1765,8,4,0,5,2,0,5,0,1,2,0.307692307,0.4375,0.461538461,0.3911179471760988,17508
2019,"Ryan Burr","CHW",19.2,86,4.5763,17,3,1,13,10,3,8,0,0,20,0.226666666,0.294117647,0.413333333,0.2966593532001271,17536
2019,"Andrew Moore","SEA",4.2,20,7.7142,6,2,0,4,4,2,1,0,0,2,0.315789473,0.35,0.736842105,0.43709548115730285,17553
2019,"Jimmy Herget","CIN",6.1,26,4.2632,8,2,0,3,3,2,3,0,0,0,0.347826086,0.423076923,0.695652173,0.45621973734635574,17556
